Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
?,?,eth1/24/2,47-53-59-60,,,,0,0
?,?,eth1/24/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/24/4,47-53-59-60,,,,0,0
?,?,eth1/24/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/24/6,47-53-59-60,,,,0,0
?,?,eth1/24/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/24/8,47-53-59-60,,,,0,0
?,?,eth1/25/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/25/2,47-53-59-60,,,,0,0
?,?,eth1/25/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/25/4,47-53-59-60,,,,0,0
?,?,eth1/25/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/25/6,47-53-59-60,,,,0,0
?,?,eth1/25/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/25/8,47-53-59-60,,,,0,0
?,?,eth1/26/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/26/2,47-53-59-60,,,,0,0
?,?,eth1/26/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/26/4,47-53-59-60,,,,0,0
?,?,eth1/26/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/26/6,47-53-59-60,,,,0,0
?,?,eth1/26/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/26/8,47-53-59-60,,,,0,0
?,?,eth1/27/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/27/2,47-53-59-60,,,,0,0
?,?,eth1/27/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/27/4,47-53-59-60,,,,0,0
?,?,eth1/27/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/27/6,47-53-59-60,,,,0,0
?,?,eth1/27/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/27/8,47-53-59-60,,,,0,0
?,?,eth1/28/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/28/2,47-53-59-60,,,,0,0
?,?,eth1/28/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/28/4,47-53-59-60,,,,0,0
?,?,eth1/28/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/28/6,47-53-59-60,,,,0,0
?,?,eth1/28/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/28/8,47-53-59-60,,,,0,0
?,?,eth1/29/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/29/2,47-53-59-60,,,,0,0
?,?,eth1/29/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/29/4,47-53-59-60,,,,0,0
?,?,eth1/29/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/29/6,47-53-59-60,,,,0,0
?,?,eth1/29/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/29/8,47-53-59-60,,,,0,0
?,?,eth1/30/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/30/2,47-53-59-60,,,,0,0
?,?,eth1/30/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/30/4,47-53-59-60,,,,0,0
?,?,eth1/30/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/30/6,47-53-59-60,,,,0,0
?,?,eth1/30/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/30/8,47-53-59-60,,,,0,0
?,?,eth1/31/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/31/2,47-53-59-60,,,,0,0
?,?,eth1/31/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/31/4,47-53-59-60,,,,0,0
?,?,eth1/31/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/31/6,47-53-59-60,,,,0,0
?,?,eth1/31/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/31/8,47-53-59-60,,,,0,0
?,?,eth1/32/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/32/2,47-53-59-60,,,,0,0
?,?,eth1/32/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/32/4,47-53-59-60,,,,0,0
?,?,eth1/32/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/32/6,47-53-59-60,,,,0,0
?,?,eth1/32/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/32/8,47-53-59-60,,,,0,0
